"mol%TiO2","mol%HfO2","Ms (K)","T0 (K)"
10,18,1357.8434059320211,1507.1453181128043
10,19,1366.613581632382,1515.8584237317984
10,20,1375.2948076708435,1524.4504438056179
10,21,1383.8917300502314,1532.9272928884043
10,22,1392.4084140229986,1541.2941462150459
10,23,1400.8484320837447,1549.5555517192238
10,24,1409.214936433566,1557.7155222835913
10,25,1417.5107190220272,1565.7776121756579
10,26,1425.738261582052,1573.7449807443004
10,27,1433.8997775511357,1581.6204457871936
10,28,1441.9972473733355,1589.4065284916987
10,29,1450.0324483702427,1597.1054914618737
10,30,1458.006980131304,1604.719371041379
10,31,1465.9222861884468,1612.2500049061878
10,32,1473.779672594365,1619.6990557155132
10,33,1481.580323908481,1627.0680314626072
10,34,1489.3253170030077,1634.358303050418
10,35,1497.0156330281745,1641.5711195238562
10,36,1504.6521678167944,1648.707621315222
10,37,1512.2357409606016,1655.7688517987583
10,38,1519.7671037520067,1662.7557674008588
10,39,1527.2469461534376,1669.6692464722817
10,40,1534.6759029303275,1676.510097095721
10,41,1542.0545590625763,1683.2790639748566
10,42,1549.3834545316429,1689.9768345284524
10,43,1556.6630885656577,1696.6040442946173
10,44,1563.8939234128914,1703.1612817345547
10,45,1571.0763877035668,1709.6490925123046
10,46,1578.2108794514502,1716.0679833158908
10,47,1585.2977687395346,1722.4184252762898
10,48,1592.337400127825,1728.7008570326873
10,49,1599.3300948163424,1734.915687486018
10,50,1606.2761525917638,1741.063298277144
10,51,1613.1758535826407,1747.1440460213105
10,52,1620.02945984469,1753.1582643263268
10,53,1626.8372167951873,1759.106265618546
10,54,1633.5993545128276,1764.9883427976802
10,55,1640.3160889176054,1770.8047707388478
10,56,1646.9876228434707,1776.5558076580526
10,57,1653.6141470148677,1782.2416963554322
10,58,1660.1958409371728,1787.8626653487622
10,59,1666.732873709637,1793.418929908402
10,60,1673.225404768711,1798.9106930035641
10,61,1679.6735845684984,1804.3381461685535
10,62,1686.0775552045532,1809.7014702969007
10,63,1692.4374509863621,1815.0008363701504
10,64,1698.7533989634408,1820.2364061276062
10,65,1705.0255194093374,1825.4083326824687
10,66,1711.2539262674134,1830.5167610893648
10,67,1717.4387275618783,1835.5618288675944
10,68,1723.5800257772528,1840.5436664842014
10,69,1729.677918208972,1845.4623978003
10,70,1735.7324972876945,1850.318140483946
10,71,1741.7438508795894,1855.1110063924311
10,72,1747.712062564688,1859.8411019265945
10,73,1753.6372118950685,1864.5085283595108
10,74,1759.519374634596,1869.1133821417432
10,75,1765.3586229818025,1873.6557551849949
10,76,1771.1550257771237,1878.1357351260174
10,77,1776.9086486959425,1882.5534055722776
10,78,1782.6195544283732,1886.9088463308965
10,79,1788.2878028470209,1891.2021336221753
10,80,1793.9134511634672,1895.4333402788352
10,81,1799.4965540744993,1899.6025359321561
10,82,1805.0371638988015,1903.7097871859821
10,83,1810.5353307047762,1907.7551577794625
10,84,1815.9911024302478,1911.738708739463
