CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
88626	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (1999) 143, (*) p210-p218	4.5931 4.5931 2.9583 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
88627	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (1999) 143, (*) p210-p218	4.5932 4.5932 2.9584 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
158589	Ge O2	Rutile-TiO2	Physics and Chemistry of Minerals (2000) 27, (*) p575-p582	4.3966 4.3966 2.8626 90.000 90.000 90.000	2	293.00	0.101325	Ge1 O2		
158590	Ge O2	Rutile-TiO2	Physics and Chemistry of Minerals (2000) 27, (*) p575-p582	4.3751 4.3751 2.8511 90.000 90.000 90.000	2	293.00	4200	Ge1 O2		
158591	Ge O2	Rutile-TiO2	Physics and Chemistry of Minerals (2000) 27, (*) p575-p582	4.3553 4.3553 2.8463 90.000 90.000 90.000	2	293.00	6200	Ge1 O2		
158592	Ge O2	Rutile-TiO2	Physics and Chemistry of Minerals (2000) 27, (*) p575-p582	4.3417 4.3417 2.8407 90.000 90.000 90.000	2	293.00	8900	Ge1 O2		
158593	Ge O2	Rutile-TiO2	Physics and Chemistry of Minerals (2000) 27, (*) p575-p582	4.3340 4.3340 2.8376 90.000 90.000 90.000	2	293.00	10400	Ge1 O2		
158594	Ge O2	Rutile-TiO2	Physics and Chemistry of Minerals (2000) 27, (*) p575-p582	4.3349 4.3349 2.8424 90.000 90.000 90.000	2	293.00	10500	Ge1 O2		
158595	Ge O2	Rutile-TiO2	Physics and Chemistry of Minerals (2000) 27, (*) p575-p582	4.2980 4.2980 2.8295 90.000 90.000 90.000	2	293.00	16100	Ge1 O2		
158596	Ge O2	Rutile-TiO2	Physics and Chemistry of Minerals (2000) 27, (*) p575-p582	4.2835 4.2835 2.8193 90.000 90.000 90.000	2	293.00	20300	Ge1 O2		
158597	Ge O2	Rutile-TiO2	Physics and Chemistry of Minerals (2000) 27, (*) p575-p582	4.2630 4.2630 2.8148 90.000 90.000 90.000	2	293.00	25000	Ge1 O2		
165920	Ti O2	Rutile-TiO2	Materials Research Bulletin (2010) 45, (*) p6-p8	4.6000 4.6000 2.9600 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
165921	Ti O2	Rutile-TiO2	Materials Research Bulletin (2010) 45, (*) p6-p8	4.6370 4.6370 2.9230 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
165922	Ti O2	Rutile-TiO2	Materials Research Bulletin (2010) 45, (*) p6-p8	4.6200 4.6200 2.9630 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
165923	Ti O2	Rutile-TiO2	Materials Research Bulletin (2010) 45, (*) p6-p8	4.6070 4.6070 2.9710 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
165924	Ti O2	Rutile-TiO2	Materials Research Bulletin (2010) 45, (*) p6-p8	4.6010 4.6010 2.9680 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
165925	Ti O2	Rutile-TiO2	Materials Research Bulletin (2010) 45, (*) p6-p8	4.5853 4.5853 2.9660 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
