CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
9398	Yb (V O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (1972) 5, (*) p11-p14	7.0435 7.0435 6.2470 90.000 90.000 90.000	4	4.20	0.101325	O4 V1 Yb1	6.1	
15601	Yb (V O4)	Zircon-ZrSiO4	Journal of Physical Chemistry (1952) 56, (*) p145-p148	7.0400 7.0400 6.2300 90.000 90.000 90.000	4	293.00	0.101325	O4 V1 Yb1	6.15	
15604	Y (V O4)	Zircon-ZrSiO4	Journal of Physical Chemistry (1952) 56, (*) p145-p148	7.1000 7.1000 6.2700 90.000 90.000 90.000	4	293.00	0.101325	O4 V1 Y1	4.3	
15607	Gd (V O4)	Zircon-ZrSiO4	Journal of Physical Chemistry (1952) 56, (*) p145-p148	7.1900 7.1900 6.3300 90.000 90.000 90.000	4	293.00	0.101325	Gd1 O4 V1	5.5	
15609	Sm (V O4)	Zircon-ZrSiO4	Journal of Physical Chemistry (1952) 56, (*) p145-p148	7.2400 7.2400 6.3600 90.000 90.000 90.000	4	293.00	0.101325	O4 Sm1 V1	5.2	
15610	Nd (V O4)	Zircon-ZrSiO4	Journal of Physical Chemistry (1952) 56, (*) p145-p148	7.3300 7.3300 6.4300 90.000 90.000 90.000	4	293.00	0.101325	Nd1 O4 V1	5	
15612	Ce (V O4)	Zircon-ZrSiO4	Journal of Physical Chemistry (1952) 56, (*) p145-p148	7.3400 7.3400 6.4700 90.000 90.000 90.000	4	293.00	0.101325	Ce1 O4 V1	4.75	
15670	Er (P O4)	Zircon-ZrSiO4	Chemical Physics Letters (1968) 2, (*) p47-p50	6.8630 6.8630 6.0070 90.000 90.000 90.000	4	293.00	0.101325	Er1 O4 P1	6.15	
15671	Er (V O4)	Zircon-ZrSiO4	Chemical Physics Letters (1968) 2, (*) p47-p50	7.1000 7.1000 6.2790 90.000 90.000 90.000	4	293.00	0.101325	Er1 O4 V1	5.9	
16299	Nd (V O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (1971) 3, (*) p458-p465	7.3290 7.3290 6.4356 90.000 90.000 90.000	4	293.00	0.101325	Nd1 O4 V1	5	
16300	Er (V O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (1971) 3, (*) p458-p465	7.0975 7.0975 6.2723 90.000 90.000 90.000	4	293.00	0.101325	Er1 O4 V1	5.9	
16648	Sc P O4	Zircon-ZrSiO4	Acta Crystallographica (1956) 9, (*) p677-p678	6.5780 6.5780 5.7960 90.000 90.000 90.000	4	293.00	0.101325	O4 P1 Sc1	3.7	
24513	Y (As O4)	Zircon-ZrSiO4	Gazzetta Chimica Italiana (1934) 64, (*) p662-p674	6.9040 6.9040 6.2820 90.000 90.000 90.000	4	293.00	0.101325	As1 O4 Y1	4.561	
24514	Y (P O4)	Zircon-ZrSiO4	Gazzetta Chimica Italiana (1934) 64, (*) p662-p674	6.8760 6.8760 6.1860 90.000 90.000 90.000	4	293.00	0.101325	O4 P1 Y1	3.785	
26894	Y (V O4)	Zircon-ZrSiO4	Zeitschrift fuer Physikalische Chemie, Abteilung B: Chemie der Elementarprozesse, Aufbau der Materie (1933) 20, (*) p345-p350	7.1260 7.1260 6.1790 90.000 90.000 90.000	4	293.00	0.101325	O4 V1 Y1	4.49	
26979	Nd Cr O4	Zircon-ZrSiO4	Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences (1964) 259, (*) p411-p413	7.3110 7.3110 6.4020 90.000 90.000 90.000	4	293.00	0.101325	Cr1 Nd1 O4		
26980	Sm (Cr O4)	Zircon-ZrSiO4	Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences (1964) 259, (*) p411-p413	7.2510 7.2510 6.3560 90.000 90.000 90.000	4	293.00	0.101325	Cr1 O4 Sm1		
